run,seed,generation,best_accuracy_percent,best_fmeasure,tree_size,expression,expression_with_column_names
11,489,38,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,39,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,40,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,41,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,42,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,43,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,44,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,45,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,46,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,47,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,48,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,49,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,50,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,51,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,52,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,53,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,54,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,55,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,56,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,57,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,58,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,59,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,60,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,61,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
